ABBOTT, HARVEY LESLIE
CATLIN, PAUL ALLEN*
CHALK, JOHN HENRY HOLLOWAY*
CHARTRAND, GARY THEODORE
CHEN, CHUAN CHONG
CHEN, GUANTAO
CHEN, HANG^1
CHEN, ROBERT W.
CHINN, PHYLLIS ZWEIG
CHOI, SHIU LUN GODFREY
CHOWLA, SARVADAMAN D. S.*
CHUI, CHARLES KAM-TAI
CHUNG, FAN RONG KING (GRAHAM)
CHUNG, KAI-LAI*
CHVATAL, VACLAV (VASEK)
CLARK, BRENT N.
CLARK, LANE HENRY
CLARKSON, JAMES ANDREW*
CLUNIE, JAMES GOURLAY*
COHEN, STEPHEN DOUGLAS
COLBOURN, CHARLES JOSEPH
CONWAY, JOHN HORTON*
COPELAND, ARTHUR HERBERT, SR.
CROFT, HALLARD T.
CSAKI, ENDRE
CSISZAR, IMRE
CZIPSZER, JANOS*
DARLING, DONALD ALLAN*
DARST, RICHARD BRIAN
DAVENPORT, HAROLD*
DAVIES, ROY OSBORNE
DAYKIN, DAVID E.*
DE BRUIJN, NICOLAAS GOVERT*
DE CAEN, DOMINIQUE PAUL*
DE KONINCK, JEAN-MARIE
DEBOSE, YOLANDA (COLUMBUS)
DEHEUVELS, PAUL RENE LOUIS
DELEGLISE, MARC
DENES, JOZSEF*
DESHOUILLERS, JEAN-MARC
DEUBER, WALTER A.*
DEZA, MICHEL-MARIE*
DIACONIS, PERSI WARREN
DIAMOND, HAROLD GEORGE
DIRAC, GABRIEL ANDREW*
DIXMIER, JACQUES
DOWKER, YAEL NAIM*
DRAKE, DAVID ALLYN
DUDLEY, UNDERWOOD
DUKE, RICHARD ALTER*
DVORETZKY, ARYEH*
ECKLUND, EARL FRANK, JR.
EDREI, ALBERT*
EGGLETON, ROGER BENJAMIN
EL-ZAHAR, MOHAMED H.
ELEKES, GYORGY*
ELLIOTT, PETER D. T. A.
ENTRINGER, ROGER CHARLES*
ERNE, MARCEL
EVANS, ANTHONY BRIAN
FABER, VANCE
FAJTLOWICZ, SIEMION
FAUDREE, RALPH JASPER, JR.*
FEJES TOTH, LASZLO*
FELDHEIM, ERVIN*
FELLER, WILLY (WILLIAM SRECKO
FELZENBAUM, ALEXANDER GERSH
FEW, LEONARD
FISHBURN, PETER CLINGERMAN
FODOR, GEZA*
FOWLER, JOEL CHRISTOPHER
FON-DER-FLAASS, DMITRII GERMANOVICH
FOWLER, THOMAS GEORGE
FRAENKEL, AVIEZRI SIEGMUND
FRANKL, PETER
FREEDMAN, ALLEN ROY
FREIMAN, GREGORY ABELEVICH
FREUD, GEZA*
FREUD, ROBERT
FRIED, ERVIN*
FRIED, HANS*
FUCHS, WOLFGANG HEINRICH JOHANNES*
FUREDI, ZOLTAN
GAAL, STEVEN A. (GAL, ISTVAN SANDOR)
GALAMBOS, JANOS*
GALLAI, TIBOR* (GRUNWALD, TIBOR)
GALVIN, FREDERICK WILLIAM
GERENCSER, LASZLO
GILLIS, JOSEPH E.*
GILLMAN, LEONARD*
GIMBEL, JOHN GORDON
GINZBURG, ABRAHAM
GODDARD, WAYNE DEAN
GODSIL, CHRISTOPHER DAVID
GOLDBERG, MARK K.
GOLOMB, MICHAEL*
GOODMAN, ADOLPH (AL) WINKLER*
GORDON, BASIL*
GOULD, RONALD JAMES
GRAHAM, RONALD LEWIS*
GRAHAM, SIDNEY WEST
GRANVILLE, ANDREW JAMES
GRIESER, DANIEL
GRILL, KARL
GRUBER, PETER MANFRED*
GRUNBAUM, BRANKO*
GRUNWALD, GEZA*
GUNDERSON, DAVID SHANE
GUPTA, HANSRAJ*
GUY, MICHAEL J. T.
GUY, RICHARD KENNETH*
GYARFAS, ANDRAS
GYORI, ERVIN
GYORY, KALMAN
HAJNAL, ANDRAS*
HALASZ, GABOR^1
HALL, RICHARD ROXBY
HAMBURGER, PETER
HAMMER, JOSEPH
HANANI, HAIM (CHOJNACKI)*
HANSON, DENIS
HARARY, FRANK*
HARCOS, GERGELY
HARDY, GEORGE EUGENE*
HARE, WILLIAM RAY, JR.
HARNER, CHARLES CLARK
HARTMAN, STANISLAW*
HARTTER, HANS ERICH*
HARZHEIM, EGBERT*
HATTINGH, JOHANNES HENDRIK
HECHLER, STEPHEN HERMAN
HEDETNIEMI, STEPHEN TRAVIS
HEDRLIN, ZDENEK*
HEGYVARI, NORBERT
HEILBRONN, HANS ARNOLD*
HELL, PAVOL
HEMMINGER, ROBERT LOUIS
HENNING, MICHAEL ANTHONY
HENRIKSEN, MELVIN E.*
HERZOG, FRITZ*
HERZOG, MARCEL
HICKERSON, DEAN ROBERT
HIGGS, DENIS ARTHUR*
HILDEBRAND, ADOLF J.
HINDMAN, NEIL BRUCE
HOBBS, ARTHUR MARMADUKE
HOFFMAN, ALAN JEROME
HOGGATT, VERNER EMIL, JR.*
HOLTON, DEREK ALLAN
HOLZMAN, RON
HORAK, PETER
HORVATH, MIKLOS^1
HOWORKA, EDWARD RICHARD
HSU, DERBIAU FRANK
HUNT, GILBERT AGNEW*
HWANG, JUN SHUNG (JAMES)*
INDLEKOFER, KARL-HEINZ
INGHAM, ALBERT EDWARD*
IVIC, ALEKSANDAR P.
JABOTINSKY, ERI*
JACKSON, STEPHEN CRAIG
JACOBSON, MICHAEL SCOTT
JAGOTA, ARUN KUMAR
JANSON, SVANTE
JARNIK, VOJTECH*
JIN, GUO PING
JONES, FRED B.
JOO, ISTVAN*
JOO, MIKLOS
KAC, MARK*
KAINEN, PAUL CHESTER
KAKUTANI, SHIZUO*
KAPLANSKY, IRVING*
KARAMATA, JOVAN*
KATAI, IMRE
KELLY, PAUL JOSEPH*
KENNEDY, JOHN WILLIAM
KESTELMAN, HYMAN*
KHARE, SATGUR PRASAD
KIERSTEAD, HENRY ANDREW^1
KISS, PETER*
KLAMKIN, MURRAY SEYMOUR*
KLAWE, MARIA MARGARET
KLEITMAN, DANIEL J.
KLUGERMAN, MICHAEL RICHARD
KNAPPENBERGER, JONATHAN CHARLES
KO, CHAO (KE, ZHAO)*
KOCZY, LASZLO A.
KOHAYAKAWA, YOSHIHARU
KOKSMA, JURJEN FERDINAND^1*
KOLESNIK, GRIGORI ABRAMOVICH
KOMJATH, PETER
KOMLOS, JANOS
KOMORNIK, VILMOS
KOREN, ISRAEL
KOSTOCHKA, ALEXANDR V.
KOVARI, TAMAS*
KRANTZ, STEVEN GEORGE
KRATSCH, DIETER
KRIVELEVICH, MICHAEL
KROO, ANDRAS V.
KUBICKA, EWA MARIA
KUBICKI, GRZEGORZ M.
KUNEN, KENNETH
LACAMPAGNE, CAROLE BAKER
LAM, PETER CHE BOR
LARSON, JEAN ANN
LASKAR, RENU CHAKRAVARTI
LEFMANN, HANNO
LEHEL, JENO
LEHNER, JOSEPH*
LENGYEL, BELA ADALBERT*
LEV, VSEVOLOD F.
LEVEQUE, WILLIAM JUDSON*
LEWIN, MORDECHAI*
LI, WEN-CHING WINNIE
LICK, DON RAYMOND
LINIAL, NATHAN
LIU, JIUQIANG
LOEBL, MARTIN
LORENTZ, GEORGE GUNTHER*
LOVASZ, LASZLO
LOXTON, JOHN HAROLD
LUCA, FLORIAN
LUCZAK, TOMASZ
MACINTYRE, ARCHIBALD JAMES*
MAGIDOR, MENACHEM
MAHLER, KURT*
MAIER, HELMUT
MAKAI, ENDRE, JR.
MAKKAI, MIHALY MICHAEL
MALDE, PARESH J.
MALOUF, JANICE L.
MARCUS, SOLOMON*
MATE, ATTILA
MAUDUIT, CHRISTIAN*
MAULDIN, RICHARD DANIEL
MAXSEIN, THOMAS*
MAYS, MICHAEL ELLSWORTH
MCCANNA, JOSEPH EDWARD, III
MCELIECE, ROBERT JAMES*
MCKAY, BRENDAN DAMIEN
MEIR, AMRAM*
MELFI, GIUSEPPE
MEYER, ANJA GABRIELE
MILLS, GEORGE HARLOW
MILNER, ERIC CHARLES*
MINC, HENRYK*
MIRSKY, LEONID*
MOLLOY, MICHAEL SEAN O'BRIEN
MONTGOMERY, HUGH LOWELL
MONTGOMERY, PETER LAWRENCE*
MOON, JOHN WESLEY
MORAN, SHLOMO
MORTON, RICHARD PATRICK
MOSER, LEO*
MULLIN, RONALD CLEVELAND
MURTY, MARUTI RAM PEDAPROLU
MURTY, VIJAYA KUMAR PEDAPROLU
NATHANSON, MELVYN BERNARD
NESETRIL, JAROSLAV
NETANYAHU, ELISHA*
NEVEU, JACQUES*
NEWMAN, DONALD JOSEPH*
NEY, PETER E.
NICOLAS, JEAN-LOUIS
NIVEN, IVAN MORTON*
NORTON, DONALD ALAN
O'NEIL, PATRICK EUGENE*
OBLATH, RICHARD*
ODLYZKO, ANDREW MICHAEL
OELLERMANN, ORTRUD R.
OFFORD, ALBERT CYRIL*
ORDMAN, EDWARD THORNE
OXTOBY, JOHN C.*
PACH, JANOS
PALFY, PETER PAL
PALKA, ZBIGNIEW J.
PALMER, EDGAR MILAN*
PAPP, ZOLTAN Z.*
PARSONS, TORRENCE DOUGLAS*
PAYAN, CHARLES
PENNEY, DAVID EMORY, III*
PHELPS, KEVIN THOMAS
PINKUS, ALLAN MARK
PIPPERT, RAYMOND ELMER
PIRANIAN, GEORGE*
POLLACK, RICHARD M.*
POLLARD, HARRY*
POMERANCE, CARL BERNARD
POSA, LAJOS
PRACHAR, KARL*
PREISS, DAVID
PRINS, GEERT CALEB ERNST*
PUDAITE, PAUL ROZARLIEN
PULLMAN, NORMAN JAY*
PURDY, GEORGE BARRY*
PYBER, LASZLO
RADO, RICHARD*
RAMACHANDRA, KANAKANAHALLI*
RAO, SIDDANI BHASKARA
RAUZY, GERARD*
REDDY, A. R.
REID, TALMAGE JAMES
RENYI, ALFRED A.*
REVESZ, PAL
REZNICK, BRUCE ARIE
RICHARDS, JONATHAN IAN*
RICHMOND, LAWRENCE BRUCE
RIEGER, GEORG JOHANN
RIESEL, HANS*
ROBINSON, ROBERT WILLIAM
RODL, VOJTECH
ROGERS, CLAUDE AMBROSE*
ROSA, ALEXANDER
ROSENBLOOM, PAUL CHARLES*
ROSENFELD, MOSHE^1
ROTHSCHILD, BRUCE LEE
ROUSSEAU, CECIL CLYDE, JR.*
RUBEL, LEE ALBERT*
RUBIN, ARTHUR LEONARD
RUDIN, MARY ELLEN ESTILL*
RUSZINKO, MIKLOS
RUZSA, IMRE Z.
RYAVEC, CHARLES ALBERT
SACHS, HORST*
SAFFARI, BAHMAN
SAIAS, ERIC
SAKS, MICHAEL EZRA
SALAMON, PETER
SALAT, TIBOR*
SANDOR, CSABA
SARKAR, AMITES
SARKOZY, ANDRAS
SARKOZY, GABOR NAUM
SAUER, NORBERT W.
SCHAER, JONATHAN
SCHELP, RICHARD HERBERT*
SCHERK, PETER*
SCHINZEL, ANDRZEJ BOBOLA MARIA
SCHMUTZ, ERIC JONATHAN
SCHNITZER, FRANZ JOSEF*
SCHONHEIM, JOHANAN*
SCHULMAN, LEONARD J. Y.
SCHUSTER, SEYMOUR
SCHWENK, ALLEN JOHN CARL
SEGAL, SANFORD LEONARD*
SEIDEL, WLADIMIR P.*
SELFRIDGE, JOHN LEWIS*
SELKOW, STANLEY MELVYN
SERESS, AKOS*
SHALLIT, JEFFREY OUTLAW
SHAPIRO, HAROLD NATHANIEL*
SHAPIRO, HAROLD SEYMOUR
SHARMA, AMBIKESHWAR*
SHELAH, SAHARON
SHENG, TSENG KUO
SHIELDS, ALLEN LOWELL*
SHISHA, OVED*
SHOREY, TARLOK NATH
SHREVE, WARREN EUGENE
SILBERMAN, GABRIEL M.
SILVERMAN, RUTH*
SIMMONS, GUSTAVUS JAMES
SIMONOVITS, MIKLOS
SINGHI, NAVIN MADHAVPRASAD
SIRAN, JOZEF
SIRAO, TUNEKITI
SKILTON, DONALD K.
SMITH, BRENT PENDLETON*
SMITH, PAUL R.
SOIFER, ALEXANDER
SOS, VERA TURAN
SPECKER, ERNST PAUL*
SPENCER, JOEL HAROLD
SPIRO-SILVERMAN, CLAUDIA ALISON
STATON, WILLIAM ALFRED, III
STEIN, ALAN H.
STEIN, SHERMAN KOPALD
STEWART, CAMERON LEIGH
STINSON, DOUGLAS ROBERT
STONE, ARTHUR HAROLD*
STRAIGHT, H. JOSEPH
STRAUS, ERNST GABOR*
SUBBARAO, MATUKUMALLI VENKATA*
SUEN, W.-C. STEPHEN*
SUN, HUI CHENG
SURANYI, JANOS*
SWART, HENDRIKA CORNELIA SCOTT
SZABADOS, JOZSEF
SZALAY, MIHALY
SZEGEDY, MARIO
SZEGO, GABOR*
SZEKELY, LASZLO ALADAR
SZEKERES, ESTHER KLEIN*
SZEKERES, GEORGE*
SZEMEREDI, ENDRE
SZUSZ, PETER*
TARSKI, ALFRED*
TAYLOR, ALAN DANA
TAYLOR, HERBERT
TAYLOR, SAMUEL JAMES*
TENENBAUM, GERALD
TETALI, PRASAD VENKATA SITARAMA VARA
THOMASSEN, CARSTEN
TIJDEMAN, ROBERT
TOTH, JANOS T.
TOTIK, VILMOS
TOVEY, CRAIG AARON
TROTTER, WILLIAM THOMAS, JR.
TURAN, PAL*
TURK, JOHANNES WILHELMUS MARIA
TUTTE, WILLIAM THOMAS*
TUZA, ZSOLT
ULAM, STANISLAW MARCIN*
URBANIK, KAZIMIERZ*
VAALER, JEFFREY DAVID
VALTR, PAVEL
VAN KAMPEN, EGBERTUS RUDOLF*
VAN LINT, JACOBUS HENDRICUS*
VARMA, ARUN KUMAR*
VAUGHAN, ROBERT CHARLES
VAZSONYI, ANDREW
VERTESI, PETER O. H.
VESZTERGOMBI, KATALIN L.
VIJAYAN, KAIPILLIL
VINCZE, ISTVAN*
VOLKMANN, BODO
WAGSTAFF, SAMUEL STANDFIELD, JR.
WANG, JIAN-FANG
WEAKLEY, WILLIAM DOUGLAS
WEISS, GARY LYNN
WEST, DOUGLAS BRENT
WILLIAMSON, ALAN GLYNNE
WILSON, RICHARD MICHAEL
WILSON, ROBIN JAMES
WINKLER, PETER MANN
WINTNER, AUREL FRIEDRICH*
WORMALD, NICHOLAS CHARLES
YAO, FOONG FRANCES
ZAKS, ABRAHAM
ZAKS, SHMUEL
ZALCSTEIN, YECHEZKEL
ZAREMBA, STANISLAW KRYSTYN*
ZHANG, ZHEN XIANG
ZIV, ABRAHAM*
